id_microrregiao,ano,total_valor_producao,id_microrregiao_1,year,avg_precipitacao_jan,avg_precipitacao_feb,avg_precipitacao_mar,avg_precipitacao_apr,avg_precipitacao_may,avg_precipitacao_jun,avg_precipitacao_jul,avg_precipitacao_aug,avg_precipitacao_sep,avg_precipitacao_oct,avg_precipitacao_nov,avg_precipitacao_dec,avg_temp_bulbo_jan,avg_temp_bulbo_feb,avg_temp_bulbo_mar,avg_temp_bulbo_apr,avg_temp_bulbo_may,avg_temp_bulbo_jun,avg_temp_bulbo_jul,avg_temp_bulbo_aug,avg_temp_bulbo_sep,avg_temp_bulbo_oct,avg_temp_bulbo_nov,avg_temp_bulbo_dec,avg_umidade_rel_jan,avg_umidade_rel_feb,avg_umidade_rel_mar,avg_umidade_rel_apr,avg_umidade_rel_may,avg_umidade_rel_jun,avg_umidade_rel_jul,avg_umidade_rel_aug,avg_umidade_rel_sep,avg_umidade_rel_oct,avg_umidade_rel_nov,avg_umidade_rel_dec,avg_temp_max_jan,avg_temp_max_feb,avg_temp_max_mar,avg_temp_max_apr,avg_temp_max_may,avg_temp_max_jun,avg_temp_max_jul,avg_temp_max_aug,avg_temp_max_sep,avg_temp_max_oct,avg_temp_max_nov,avg_temp_max_dec,avg_vento_vel_jan,avg_vento_vel_feb,avg_vento_vel_mar,avg_vento_vel_apr,avg_vento_vel_may,avg_vento_vel_jun,avg_vento_vel_jul,avg_vento_vel_aug,avg_vento_vel_sep,avg_vento_vel_oct,avg_vento_vel_nov,avg_vento_vel_dec,avg_pressao_atm_jan,avg_pressao_atm_feb,avg_pressao_atm_mar,avg_pressao_atm_apr,avg_pressao_atm_may,avg_pressao_atm_jun,avg_pressao_atm_jul,avg_pressao_atm_aug,avg_pressao_atm_sep,avg_pressao_atm_oct,avg_pressao_atm_nov,avg_pressao_atm_dec,treatment,avg_pre_production,avg_precip,avg_pressao,avg_temp,avg_umidade,avg_vento,year_effect,region_trend,current_treatment,treated_region,treatment_year,matched_control,propensity_score,distance,match_id
11006,2009,6724.0,11006,2009,0.4439353099730454,0.5629850746268652,0.351612903225806,0.3558333333333333,0.0473755047106325,0.0227777777777777,0.0067294751009421,0.0876344086021505,0.0418470418470418,0.1625344352617079,0.3082352941176469,0.3588709677419355,26.04999999999999,25.42059701492536,25.733736559139757,25.64013888888888,25.59784656796765,24.46902777777777,25.19515477792733,26.73172043010752,27.60447330447332,30.19807162534435,26.90029411764704,25.655779569892488,80.68194070080854,83.02388059701511,82.94086021505373,83.33333333333331,80.95827725437421,76.74166666666667,70.74427994616428,63.42069892473119,65.08369408369403,59.25068870523414,78.54117647058827,82.6236559139785,26.584636118598375,25.92597014925374,26.264650537634413,26.14555555555556,26.168102288021537,25.101111111111116,25.94993270524898,27.58844086021504,28.36820809248552,31.345244956772337,27.499263622975,26.151612903225804,1.2529014844804307,1.2476119402985089,1.1913978494623674,1.2347222222222227,1.137012113055182,1.2849999999999997,1.2729475100942127,1.3181451612903234,1.4350649350649345,1.909917355371901,1.3073529411764713,1.2903225806451617,988.501078167116,988.1640298507456,988.2153225806451,989.46875,990.0298788694483,991.728194444444,991.1519515477802,989.7817204301087,989.7036075036071,987.24435261708,986.5113235294115,988.0959677419356,1,9383.0,0.2291976271932404,989.0496814401936,26.924394075091445,75.61201273430349,1.3235330077634764,53396.04109589041,1,1,11006,2009,0,,,11006_2009
11001,2009,233.0,11001,2009,0.4008119079837621,0.6112977099236641,0.4293628808864266,0.4718309859154932,0.230040595399188,0.1095774647887322,0.044718792866941,0.1020408163265306,0.1871687587168758,0.3123966942148762,0.3925000000000001,0.386559139784946,25.71069012178621,25.36045801526717,25.656232686980616,25.712253521126744,25.579296346414058,25.029577464788712,25.439506172839497,26.45687074829932,26.83012552301256,27.2366391184573,26.598472222222203,25.83978494623657,86.05142083897162,87.01679389312973,86.32686980609414,85.76760563380287,85.56833558863333,84.21549295774656,78.72976680384097,74.7605442176871,75.41283124128313,77.5592286501378,83.02222222222224,86.28360215053763,26.22097428958052,25.855725190839667,26.197922437673142,26.260140845070406,26.169688768606207,25.591830985915497,26.158847736625532,27.2512925170068,27.59191073919108,27.92741046831954,27.078888888888887,26.207123655913986,1.3875507442489845,1.322595419847327,1.2171745152354587,1.250140845070422,1.074864130434783,1.2518348623853215,1.7559248554913285,1.0821768707482984,1.5053072625698334,1.4195592286501386,1.3809722222222225,1.3407258064516132,1000.4473612990536,999.9696183206106,999.9573407202208,1001.1492957746484,1001.5863328822736,1002.9328169014092,1002.3895747599452,1001.1338775510204,1001.3354253835424,999.0500000000013,997.98125,999.8364247311824,0,292.6666666666667,0.3065254789006197,1000.647443193659,26.54264637696927,82.5595595003406,1.332402230279644,53396.04109589041,2,0,11006,2009,1,0.9619640451178653,0.003219543506260525,11006_2009
15012,2009,12.0,15012,2009,0.3549650349650348,0.5725782414306996,0.8538358008075376,0.9452830188679238,0.6142664872139979,0.2748261474269819,0.1518453427065025,0.0122116689280868,0.0528511821974965,0.0376210235131397,0.1494444444444443,0.3263440860215055,25.631888111888088,25.382116244411357,25.29784656796768,25.47146226415095,25.36702557200537,25.795271210013915,26.021616871704744,26.39389416553595,26.82962447844228,27.238589211618244,27.28875,26.72432795698925,83.7944055944055,85.32190760059616,86.70121130551814,87.56603773584902,87.8169582772543,83.105702364395,78.39718804920909,76.00271370420622,73.53129346314321,71.14107883817437,71.70416666666667,77.5040322580645,26.222237762237796,25.93219076005964,25.838761776581443,25.93537735849057,25.86177658142664,26.332823365785828,26.62337434094903,26.999321573948443,27.501668984700984,27.965698478561528,27.95208333333333,27.268145161290285,0.9572027972027968,1.0128166915052157,0.9488559892328394,0.8681603773584903,0.7837146702557207,0.906397774687065,1.0753954305799651,1.2850746268656703,1.4556328233657865,1.313969571230983,1.2997222222222211,1.151612903225807,1005.596363636364,1005.1573770491794,1005.2473755047108,1006.9544811320748,1006.7987886944824,1007.3731571627264,1007.3987697715291,1006.7852103120762,1006.9204450625872,1004.9464730290464,1004.0861111111114,1004.9293010752688,0,12.0,0.33532097841311675,1006.016154461763,26.70278828978046,80.21555798812352,1.0882129898110466,53396.04109589041,2,0,11006,2009,1,0.9840931404618941,0.018909551837768324,11006_2009
11007,2009,82.0,11007,2009,0.3364737550471064,0.3811940298507464,0.404301075268817,0.2247222222222221,0.1919354838709678,0.0066666666666666,0.0712365591397849,0.0196765498652291,0.0751043115438109,0.134375,0.504722222222222,0.3473118279569895,24.013189771197847,23.581044776119395,23.73225806451612,24.18041666666668,24.18266129032257,22.903333333333347,23.873924731182775,25.430188679245283,25.215299026425573,25.26621093750001,24.67291666666668,23.840322580645143,82.0269179004038,84.38358208955228,83.44354838709678,81.52638888888883,77.40591397849458,73.61944444444454,66.09543010752695,57.5970350404313,66.52155771905426,72.91796875,80.27222222222223,83.25537634408606,24.60376850605652,24.14149253731344,24.310887096774213,24.75708333333332,24.78467741935484,23.491250000000008,24.54381720430107,26.205795148247983,25.94965229485396,25.964062499999997,25.311388888888885,24.37365591397851,1.6379542395693123,1.6835820895522382,1.5493279569892466,1.6802777777777778,1.849462365591397,2.0686111111111147,1.8129032258064528,1.9413746630727755,1.8783031988873429,1.8449218750000005,1.87388888888889,1.8240591397849455,945.395154777927,944.99552238806,945.1563172043011,946.3750000000007,947.0245967741928,948.5572222222222,948.1368279569898,947.0458221024254,947.0269819193328,944.7056640625,943.6944444444448,944.9346774193552,1,688.0,0.22480997530454686,946.0873526059794,24.869794236925227,75.75544882268346,1.8037222110026245,53396.04109589041,1,1,11007,2009,0,,,11007_2009
51022,2008,122.0,51022,2008,0.6210526315789471,0.5089080459770114,0.5118343195266273,0.2741666666666668,0.0124156545209176,0.0005571030640668,0.0,0.0129032258064516,0.0599999999999999,0.1876344086021504,0.2486111111111111,0.5091397849462368,21.776315789473685,21.91623563218392,21.981360946745575,22.277916666666684,20.13441295546555,20.65194986072424,21.43870967741933,23.66155913978496,23.492083333333323,23.68494623655912,23.350972222222207,22.66895161290319,90.2894736842105,86.43534482758618,83.35946745562134,80.96249999999998,72.80026990553314,66.366295264624,41.41935483870967,40.959677419354776,47.87777777777778,67.74059139784944,74.50833333333331,80.0483870967742,22.36052631578947,22.57672413793102,22.6655325443787,22.94041666666666,20.821592442645063,21.432869080779927,22.278225806451605,24.49462365591398,24.33569444444441,24.41827956989247,24.110277777777767,23.38293010752688,2.621052631578947,2.6682471264367806,2.6881656804733742,2.5312500000000044,2.8179487179487186,2.6052924791086363,2.7107526881720454,2.928494623655915,2.66458333333333,0.0,0.0001388888888888,0.0,908.3894736842105,914.140373563218,914.1242603550296,913.9915277777777,916.9941970310384,917.9954038997216,918.5087365591398,916.031048387097,916.0963888888887,915.1938172043011,913.1912499999994,912.4099462365592,0,122.0,0.24560191265001555,914.7555352989152,22.9848077125165,69.39728941678119,2.019660514133053,46372.45551601423,0,0,11007,2009,1,0.9469725297854525,0.008660020105019317,11007_2009
15012,2009,12.0,15012,2009,0.3549650349650348,0.5725782414306996,0.8538358008075376,0.9452830188679238,0.6142664872139979,0.2748261474269819,0.1518453427065025,0.0122116689280868,0.0528511821974965,0.0376210235131397,0.1494444444444443,0.3263440860215055,25.631888111888088,25.382116244411357,25.29784656796768,25.47146226415095,25.36702557200537,25.795271210013915,26.021616871704744,26.39389416553595,26.82962447844228,27.238589211618244,27.28875,26.72432795698925,83.7944055944055,85.32190760059616,86.70121130551814,87.56603773584902,87.8169582772543,83.105702364395,78.39718804920909,76.00271370420622,73.53129346314321,71.14107883817437,71.70416666666667,77.5040322580645,26.222237762237796,25.93219076005964,25.838761776581443,25.93537735849057,25.86177658142664,26.332823365785828,26.62337434094903,26.999321573948443,27.501668984700984,27.965698478561528,27.95208333333333,27.268145161290285,0.9572027972027968,1.0128166915052157,0.9488559892328394,0.8681603773584903,0.7837146702557207,0.906397774687065,1.0753954305799651,1.2850746268656703,1.4556328233657865,1.313969571230983,1.2997222222222211,1.151612903225807,1005.596363636364,1005.1573770491794,1005.2473755047108,1006.9544811320748,1006.7987886944824,1007.3731571627264,1007.3987697715291,1006.7852103120762,1006.9204450625872,1004.9464730290464,1004.0861111111114,1004.9293010752688,0,12.0,0.33532097841311675,1006.016154461763,26.70278828978046,80.21555798812352,1.0882129898110466,53396.04109589041,2,0,11007,2009,1,0.9283418179404715,0.027290731950000313,11007_2009
13011,2009,727.0,13011,2009,0.2181818181818182,0.4319702602230483,0.3885369532428358,0.4262023217247098,0.2099415204678363,0.1863945578231293,0.066576819407008,0.0806267806267806,0.202567760342368,0.2,0.4022857142857142,0.4942622950819664,26.4951871657754,25.99795539033456,26.225188536953237,26.102321724709785,26.057748538011698,24.90612244897961,25.235983827493254,26.284188034188052,26.97375178316692,27.54122938530739,27.7535238095238,26.9862704918033,81.61140819964352,83.01858736059485,83.054298642534,84.41791044776113,83.74269005847961,82.38775510204083,80.16037735849056,75.95584045584052,73.14407988587729,75.59820089955019,79.03999999999995,81.97745901639342,27.13363471971067,26.611720226843104,26.814481707317054,26.669798657718136,26.662701908957423,25.53499142367068,25.890296495956907,27.03062678062677,27.698145506419408,28.253973013493265,28.411238095238108,27.59303278688524,1.5033868092691618,1.450371747211896,1.3374057315233796,1.2832504145936978,1.0549707602339184,1.353571428571428,1.1067385444743956,1.1451566951566954,1.4713266761768904,1.4364317841079448,1.5417142857142856,1.574795081967212,997.5559714795011,996.9412639405203,996.954901960784,998.257545605307,998.7646198830402,1000.388945578232,999.8947439353096,998.5679487179491,998.6701854493577,996.2382308845572,994.9502857142862,996.685450819672,1,717.5,0.27562890011726787,997.8225078307097,27.025386776903066,80.34238395226716,1.3549266632500754,53396.04109589041,1,1,13011,2009,0,,,13011_2009
15012,2009,12.0,15012,2009,0.3549650349650348,0.5725782414306996,0.8538358008075376,0.9452830188679238,0.6142664872139979,0.2748261474269819,0.1518453427065025,0.0122116689280868,0.0528511821974965,0.0376210235131397,0.1494444444444443,0.3263440860215055,25.631888111888088,25.382116244411357,25.29784656796768,25.47146226415095,25.36702557200537,25.795271210013915,26.021616871704744,26.39389416553595,26.82962447844228,27.238589211618244,27.28875,26.72432795698925,83.7944055944055,85.32190760059616,86.70121130551814,87.56603773584902,87.8169582772543,83.105702364395,78.39718804920909,76.00271370420622,73.53129346314321,71.14107883817437,71.70416666666667,77.5040322580645,26.222237762237796,25.93219076005964,25.838761776581443,25.93537735849057,25.86177658142664,26.332823365785828,26.62337434094903,26.999321573948443,27.501668984700984,27.965698478561528,27.95208333333333,27.268145161290285,0.9572027972027968,1.0128166915052157,0.9488559892328394,0.8681603773584903,0.7837146702557207,0.906397774687065,1.0753954305799651,1.2850746268656703,1.4556328233657865,1.313969571230983,1.2997222222222211,1.151612903225807,1005.596363636364,1005.1573770491794,1005.2473755047108,1006.9544811320748,1006.7987886944824,1007.3731571627264,1007.3987697715291,1006.7852103120762,1006.9204450625872,1004.9464730290464,1004.0861111111114,1004.9293010752688,0,12.0,0.33532097841311675,1006.016154461763,26.70278828978046,80.21555798812352,1.0882129898110466,53396.04109589041,2,0,13011,2009,1,0.9741919694217609,0.004283533545756724,13011_2009
11001,2009,233.0,11001,2009,0.4008119079837621,0.6112977099236641,0.4293628808864266,0.4718309859154932,0.230040595399188,0.1095774647887322,0.044718792866941,0.1020408163265306,0.1871687587168758,0.3123966942148762,0.3925000000000001,0.386559139784946,25.71069012178621,25.36045801526717,25.656232686980616,25.712253521126744,25.579296346414058,25.029577464788712,25.439506172839497,26.45687074829932,26.83012552301256,27.2366391184573,26.598472222222203,25.83978494623657,86.05142083897162,87.01679389312973,86.32686980609414,85.76760563380287,85.56833558863333,84.21549295774656,78.72976680384097,74.7605442176871,75.41283124128313,77.5592286501378,83.02222222222224,86.28360215053763,26.22097428958052,25.855725190839667,26.197922437673142,26.260140845070406,26.169688768606207,25.591830985915497,26.158847736625532,27.2512925170068,27.59191073919108,27.92741046831954,27.078888888888887,26.207123655913986,1.3875507442489845,1.322595419847327,1.2171745152354587,1.250140845070422,1.074864130434783,1.2518348623853215,1.7559248554913285,1.0821768707482984,1.5053072625698334,1.4195592286501386,1.3809722222222225,1.3407258064516132,1000.4473612990536,999.9696183206106,999.9573407202208,1001.1492957746484,1001.5863328822736,1002.9328169014092,1002.3895747599452,1001.1338775510204,1001.3354253835424,999.0500000000013,997.98125,999.8364247311824,0,292.6666666666667,0.3065254789006197,1000.647443193659,26.54264637696927,82.5595595003406,1.332402230279644,53396.04109589041,2,0,13011,2009,1,0.9588420304324037,0.01963347253511394,13011_2009
13013,2009,3622.0,13013,2009,0.3887950882578661,0.5482352941176472,0.5787234042553194,0.5067865903515935,0.205718954248366,0.0785077047850771,0.0083076923076923,0.0597840755735492,0.0963924963924962,0.3066765578635015,0.2791366906474823,0.4967741935483864,25.94773599386034,25.950588235294138,25.899696048632247,26.05249386753883,26.085784313725487,26.05717761557181,26.649769230769216,26.69784075573547,27.3005772005772,27.34859050445103,27.23301358912868,26.177843803056,84.29393706830386,84.05462184873956,84.89969604863222,84.76287816843816,83.7287581699346,81.62368207623689,75.26076923076914,74.61875843454798,74.92496392496382,77.92729970326408,80.60351718625105,84.25297113752126,26.58209302325584,26.547586790855185,26.503429878048767,26.622932022932016,26.719410319410308,26.745565500406816,27.468396591789304,27.48696826468602,28.06562952243123,28.076688938381537,27.90088070456367,26.76530264279625,1.2717574827321547,1.3450798990748538,1.1849544072948344,1.1539656582174973,1.1327614379084976,1.2107055961070572,1.161307692307692,1.2191632928475,1.361544011544012,1.2893175074183976,1.370983213429256,1.2513582342954153,998.912586339217,998.2859663865538,998.3384498480232,999.7008994276382,1000.3098856209144,1001.0372262773726,1000.4902307692312,998.6023616734132,999.044227994228,997.1237388724032,996.4653077537981,998.9297113752126,1,3571.5,0.29615322852908144,998.9367160281672,27.123740349963086,80.91265441646689,1.2460748694314308,53396.04109589041,1,1,13013,2009,0,,,13013_2009
