id_microrregiao,ano,produtividade,total_area_plantada,total_precipitacao,precipitacao_por_area_plantada,qtd_estacoes_ativas,tratado,primeiro_ano_tratamento,pos_tratamento
50010,2018,1.0,335984,13908.799999999856,0.041397209390922944,12,1,2008,1
50010,2019,1.0,332128,12168.199999999895,0.036637079680123009,12,1,2008,1
50010,2020,1.0,295244,8422.9999999999454,0.02852894555012107,12,1,2008,1
50010,2021,1.0,276945,4793.7999999999929,0.017309574103161252,12,1,2008,1
33018,2018,0.98188405797101452,276,7208.39999999996,26.117391304347681,6,1,2017,1
33018,2019,1.0,266,9579.1999999998952,36.012030075187575,6,1,2017,1
33018,2020,1.0,151,9178.7999999998974,60.78675496688674,6,1,2017,1
33018,2021,1.0,186,6614.7999999998747,35.563440860214378,6,1,2017,1
33018,2022,1.0,180,8781.7999999999047,48.787777777777251,6,1,2017,1
50010,2008,1.0,107063,5349.8000000000184,0.049968710011862344,6,1,2008,1
50010,2009,1.0,134286,9238.1999999999443,0.068794960010722966,6,1,2008,1
50010,2010,1.0,182418,6811.199999999968,0.037338420550603386,6,1,2008,1
50010,2011,1.0,249893,8158.1999999999134,0.032646772818766087,6,1,2008,1
50010,2012,1.0,300702,7672.7999999999247,0.02551629187700755,6,1,2008,1
50010,2013,1.0,349940,8132.5999999999694,0.023239983997256585,6,1,2008,1
50010,2014,1.0,337744,9239.9999999998854,0.027357998957790175,6,1,2008,1
50010,2015,1.0,272196,9641.9999999997071,0.03542300401181394,6,1,2008,1
50010,2016,1.0,332687,6333.9999999999454,0.019038916459013865,6,1,2008,1
50010,2017,1.0,326905,7840.7999999999083,0.023984949756045055,6,1,2008,1
50010,2022,1.0,233560,1562.0000000000036,0.0066877890049666195,6,1,2008,1
15017,2018,1.0,13000,5468.1999999999753,0.42063076923076731,5,1,2018,1
29032,2016,1.0,50399,4378.8000000000175,0.086882676243576609,5,1,2016,1
29032,2017,1.0,47754,5769.7999999999556,0.12082338652259404,5,1,2016,1
29032,2018,1.0,46362,5525.6,0.11918381433070188,5,1,2016,1
29032,2019,0.99769725408411536,46032,4693.9999999999536,0.10197254084115297,5,1,2016,1
29032,2020,1.0,46405,3913.9999999999468,0.084344359444024283,5,1,2016,1
29032,2021,1.0,44361,,,5,1,2016,1
29032,2022,1.0,46405,3881.3999999999724,0.083641848938691352,5,1,2016,1
33018,2017,1.0,358,5093.5999999999076,14.227932960893597,5,1,2017,1
50003,2018,1.0,12971,4486.0000000000255,0.34584843111556746,5,1,2018,1
50003,2019,1.0,16063,3928.6000000000076,0.24457448795368286,5,1,2018,1
50003,2020,1.0,18262,1054.599999999999,0.057748329865294,5,1,2018,1
50003,2021,1.0,14991,1121.2000000000021,0.074791541591621782,5,1,2018,1
50007,2018,1.0,3863,3961.4000000000083,1.0254724307533027,5,1,2018,1
50007,2019,1.0,4147,4732.6000000000076,1.1412105136243085,5,1,2018,1
50007,2020,1.0,4015,3055.6000000000104,0.76104607721046336,5,1,2018,1
50007,2021,1.0,3796,2936.2000000000071,0.77349841938883224,5,1,2018,1
50011,2018,1.0,145808,6594.0,0.045223856029847471,5,1,2018,1
50011,2019,1.0,177278,4921.4000000000033,0.02776091788039127,5,1,2018,1
50011,2020,1.0,146186,3941.8000000000093,0.026964278385071136,5,1,2018,1
50011,2021,1.0,173039,2846.4000000000015,0.016449470928519012,5,1,2018,1
53001,2017,1.0,375,5225.3999999999814,13.93439999999995,5,1,2017,1
53001,2018,1.0,205,7187.199999999898,35.059512195121457,5,1,2017,1
53001,2019,1.0,205,6640.39999999994,32.392195121950927,5,1,2017,1
53001,2020,1.0,205,9375.7999999999338,45.73560975609724,5,1,2017,1
53001,2021,1.0,205,8562.39999999992,41.767804878048388,5,1,2017,1
53001,2022,1.0,287,6463.5999999999431,22.521254355400497,5,1,2017,1
13001,2016,1.0,1,3097.1999999999903,3097.1999999999903,4,0,0,0
13013,2019,1.0,15,3552.9999999999809,236.8666666666654,4,0,0,0
13013,2020,0.9375,16,1690.8000000000047,105.6750000000003,4,0,0,0
13013,2021,1.0,15,123.20000000000017,8.2133333333333454,4,0,0,0
13013,2022,1.0,24,3529.1999999999807,147.04999999999919,4,0,0,0
15017,2016,1.0,12500,1520.4000000000033,0.12163200000000027,4,0,2018,0
15017,2017,1.0,12000,2895.7999999999997,0.24131666666666665,4,0,2018,0
17004,2016,1.0,122,3544.3999999999851,29.052459016393321,4,0,0,0
17004,2017,1.0,187,5763.7999999999411,30.822459893047814,4,0,0,0
17004,2018,1.0,185,6119.5999999999258,33.078918918918518,4,0,0,0
17004,2019,1.0,170,4103.9999999999736,24.141176470588078,4,0,0,0
17004,2020,1.0,196,4555.9999999999645,23.244897959183493,4,0,0,0
17004,2021,1.0,196,4759.399999999946,24.282653061224213,4,0,0,0
17004,2022,1.0,154,5519.9999999999573,35.844155844155566,4,0,0,0
17008,2016,1.0,683,2915.40000000001,4.2685212298682433,4,0,0,0
17008,2017,1.0,679,3664.6000000000117,5.39705449189987,4,0,0,0
17008,2018,1.0,266,4002.7999999999688,15.048120300751762,4,0,0,0
17008,2019,1.0,270,4388.1999999999716,16.252592592592489,4,0,0,0
17008,2020,1.0,269,4266.1999999999944,15.859479553903325,4,0,0,0
17008,2021,1.0,268,2915.4000000000069,10.87835820895525,4,0,0,0
17008,2022,1.0,303,2396.2000000000071,7.9082508250825319,4,0,0,0
29032,2009,1.0,29835,3755.9999999999927,0.12589240824534917,4,0,2016,0
29032,2010,1.0,42080,4052.3999999999533,0.096302281368820186,4,0,2016,0
