ano,id_microrregiao,sigla_uf,primeiro_ano_tratamento,tratado,pos_tratamento,area_plantada_arroz,area_plantada_cana,area_plantada_outras,area_plantada_soja,valor_producao_arroz,valor_producao_cana,valor_producao_outras,valor_producao_soja,valor_producao_nominal_arroz,valor_producao_nominal_cana,valor_producao_nominal_outras,valor_producao_nominal_soja,area_total_km2,populacao_total,pib_total,pib_per_capita,pib_agropecuario,precip_total_anual_mm,precip_media_mensal_mm,precip_max_mensal_mm
2007,43005,RS,0,0,0,0.0,0.0,78.47571093066365,1484.4509882230795,41.99,1465.93,118884.01,166243.52,35.0,1222.0,99102.0,138581.0,3065.6356158318686,60823,712360000,11712.02,251146000,695.2076752980549,5.266724812864052,7.766810330477626
2008,43005,RS,0,0,0,0.0,0.0,107.57878541455018,1475.2825243120053,47.48,1377.85,124601.94,204510.11,45.0,1306.0,118104.0,193845.0,3065.6356158318667,62464,849746000,13603.77,312564000,627.9927889506023,4.757521128413653,10.611823110869436
2009,43005,RS,0,0,0,0.0,0.0,93.7717426489249,1515.5849340135792,40.17,1500.19,92922.81,179088.95,38.0,1419.0,87894.0,169397.0,3065.635615831895,62398,816095000,13078.86,275774000,656.1832427978514,4.971085172710996,10.246450250799018
2010,43005,RS,0,0,0,0.0,0.0,120.79861947881922,1512.4487903205286,18.0,1644.0,101140.0,242832.0,18.0,1644.0,101140.0,242832.0,3065.635615831903,60636,1024799000,16900.83,362310000,619.3289756774901,4.691886179374927,6.599281773422703
2011,43005,RS,0,0,0,0.0,0.0,85.79641298071232,1560.6533585137952,19.19,2024.76,96706.15,254671.41,21.0,2216.0,105840.0,278725.0,3065.635615831871,60489,1142185000,18882.52,388288000,649.8294671376545,4.9229505086185945,9.432785438768791
2012,43005,RS,0,0,0,0.0,0.0,66.31310786004592,1590.4313218066718,14.67,1853.51,79725.19,217930.07,17.0,2148.0,92392.0,252555.0,3065.635615831842,60354,1200898000,19897.57,369832000,515.7854557037354,3.9074655735131456,8.61860044074781
2013,43005,RS,0,0,0,0.0,0.0,97.38954109399349,1573.1616347819804,11.4,2513.92,88612.94,247632.84,14.0,3086.0,108778.0,303985.0,3065.635615831866,62376,1504111000,24113.62,528567000,688.6393229166667,5.216964567550505,8.363044623172645
2014,43005,RS,0,0,0,0.0,0.0,80.9270667616571,1604.7554570627472,15.58,990.68,72020.42,325871.54,20.0,1272.0,92472.0,418409.0,3065.6356158318736,62343,1608223000,25796.37,548729000,795.3587373097738,6.025444979619497,16.823927561442055
2015,43005,RS,0,0,0,0.0,0.0,60.97264859497045,1650.399135362472,0.0,1071.87,57998.34,321471.82,0.0,1459.0,78946.0,437580.0,3065.6356158318495,62314,1676371000,26902.0,561928000,882.2975953420001,6.684072691984852,11.539647073456727
2016,43005,RS,0,0,0,0.0,0.0,39.46708952911375,1678.3246193112395,0.0,1105.47,67822.54,376398.73,0.0,1677.0,102887.0,570998.0,3065.635615831886,62287,1969571000,31620.9,699296000,652.4875958760578,4.9430878475458915,7.444511760364881
2017,43005,RS,0,0,0,0.0,0.0,38.48321720159911,1683.023130465894,18.6,1324.24,49087.88,327434.07,28.0,1994.0,73915.0,493040.0,3065.635615831873,62262,1847058000,29665.9,572940000,688.3416970570881,5.214709826190063,11.91705645936909
2018,43005,RS,0,0,0,0.0,0.0,42.15469883856198,1680.5677181373958,21.74,1550.75,54666.91,385728.88,35.0,2497.0,88024.0,621096.0,3065.6356158318704,60515,2112211000,34903.92,697079000,580.4900328318279,4.397651763877483,7.177649122295958
2019,43005,RS,0,0,0,0.0,0.0,37.895874937805196,1705.3119543662813,17.39,1401.42,66998.73,349837.02,30.0,2417.0,115551.0,603355.0,3065.6356158318663,60355,2176497000,36061.59,694859000,602.8343836466472,4.566927148838236,10.954177740848428
2020,43005,RS,0,0,0,0.0,0.0,36.45492471173099,1748.971640977556,22.14,778.89,97196.54,244179.38,45.0,1583.0,197539.0,496262.0,3065.6356158318827,60203,2224567000,36951.1,686959000,495.8244959513347,3.756246181449505,8.548447580048531
2021,43005,RS,0,0,0,0.0,0.0,121.77762663232221,1869.0380788996806,16.35,677.66,125023.33,451862.82,45.0,1865.0,344079.0,1243580.0,3065.6356158318836,60058,3169868000,52780.11,1336387000,397.2524007161458,3.009487884213226,5.909385103167907
2022,43005,RS,0,0,0,0.0,0.0,0.0,0.0,9.18,547.46,128424.98,261566.29,28.0,1670.0,391756.0,797899.0,0.0,60877,,,,708.5701624552407,5.367955776176067,10.095986452969644
2023,43005,RS,0,0,0,0.0,0.0,0.0,0.0,0.0,832.65,85893.65,371927.46,0.0,2374.0,244895.0,1060418.0,0.0,,,,,783.1923961639404,5.9332757285147,14.827757170706082
2003,43006,RS,0,0,0,0.0,0.0,200.9944712015995,941.8526429345804,1076.63,9731.4,159145.32,134338.05,723.0,6535.0,106872.0,90213.0,2252.147567691411,68409,569362000,8322.91,189236000,658.853769302368,4.99131643410885,11.698087056477872
2004,43006,RS,0,0,0,0.0,0.0,134.36196942492728,977.6808758014533,308.72,6110.98,114047.27,47251.2,229.0,4533.0,84598.0,35050.0,2252.1475676914056,67368,517205000,7677.31,131273000,464.695374170939,3.5204195012949926,6.893013462875829
