metodo,att_global,se_global,z,p,ci_low,ci_high
dr,0.12742085669571437,0.014326752886051794,8.89391041425503,5.899526279689333e-19,0.09934042103905286,0.1555012923523759
ipw,NA,NA,NA,NA,NA,NA
reg,0.11808740766033912,0.01605434903231146,7.355477785033382,1.9024539561439168e-13,0.08662088355700866,0.1495539317636696
