outcome_label,outcome_var,outcome_type,filter_applied,filter_crop,n_microregions,retention_rate,att,se,z,p_value,ci_lower,ci_upper,significant,n_valid,pct_valid,mean_outcome
Área Cana (área plantada),log_area_cana,Área plantada,TRUE,Cana-de-açúcar,225,40.394973070017954,0.26445520874061895,0.11182151650492794,2.3649760529670916,0.01803123680247682,0.04528503639096018,0.48362538109027775,TRUE,3669,77.65079365079364,2.850932702667323
Área Soja (especificidade),log_area_soja,Área plantada alternativa,TRUE,Soja,375,67.3249551166966,0.030718950409183123,0.06765042796443929,0.45408360794599345,0.6497686509972098,-0.10187588840111789,0.16331378921948414,FALSE,6514,82.71746031746032,3.7885479851640476
Área Arroz (especificidade),log_area_arroz,Área plantada alternativa,TRUE,Arroz,48,8.617594254937163,-0.21243776409942802,0.14289462057353233,-1.486674328584045,0.13710084603576672,-0.49251122042355144,0.06763569222469537,FALSE,881,87.40079365079364,3.2992814572123232
Valor Produção Cana (valor específico),log_valor_producao_cana,Valor de produção por cultura,TRUE,Cana-de-açúcar,225,40.394973070017954,0.4967816254822535,0.2115204358796883,2.3486223608428087,0.018843006857866298,0.08220157115806448,0.9113616798064426,TRUE,4373,92.55026455026454,9.222274345657164
Valor Produção Soja (valor específico),log_valor_producao_soja,Valor de produção por cultura,TRUE,Soja,375,67.3249551166966,0.3196833608301254,0.250054495751145,1.2784547619102806,0.20108912578979596,-0.17042345084211885,0.8097901725023696,FALSE,5555,70.53968253968253,7.433918504112115
Valor Produção Arroz (valor específico),log_valor_producao_arroz,Valor de produção por cultura,TRUE,Arroz,48,8.617594254937163,-0.13586076431710206,0.1944022331032899,-0.6988642164666722,0.48463689208599126,-0.5168891411995503,0.24516761256534617,FALSE,961,95.3373015873016,8.890103072481134
Área Outras Lavouras Temporárias,log_area_outras,Área plantada alternativa,TRUE,Outras,549,98.56373429084381,0.039600459384168105,0.05230688860767828,0.7570792382851661,0.4490023917070383,-0.06292104228688132,0.14212196105521752,FALSE,10051,87.18015439326915,2.9564900434786137
Valor Produção Outras Lavouras,log_valor_producao_outras,Valor de produção por cultura,TRUE,Outras,549,98.56373429084381,0.08302789685030901,0.06064523587824343,1.3690753386960672,0.17097572621325255,-0.03583676547104811,0.20189255917166612,FALSE,11422,99.07190562928267,10.328180122473093
