crop,att_global,se_global,p_value,ci_low,ci_high,n_obs,n_with_crop,significant,att_pct
cana,0.058074644783789445,0.03767245107574536,0.12317860849766477,-0.015763359324671447,0.13191264889225035,105764,26471,FALSE,5.807464478378945
soja,0.08045716649642275,0.022776766958197955,4.117707358574063e-4,0.03581470325835476,0.12509962973449074,105764,61739,TRUE,8.045716649642275
cafe,0.01894107147629402,0.008111426421283869,0.01953768455086527,0.003042675690577635,0.0348394672620104,105764,28756,TRUE,1.8941071476294018
citricos,0.0020681360716085927,0.006415382686293282,0.747171327678168,-0.01050601399352624,0.014642286136743425,105764,9502,FALSE,0.20681360716085928
