group,n_units,weight,n_post_periods
2004,6,0.019801980198019802,18
2005,2,0.006600660066006601,17
2006,76,0.2508250825082508,16
2007,70,0.23102310231023102,15
2008,82,0.2706270627062706,14
2009,11,0.036303630363036306,13
2010,6,0.019801980198019802,12
2011,3,0.009900990099009901,11
2012,6,0.019801980198019802,10
2013,2,0.006600660066006601,9
2015,2,0.006600660066006601,7
2016,15,0.04950495049504951,6
2017,16,0.052805280528052806,5
2018,5,0.0165016501650165,4
2019,1,0.0033003300330033004,3
