region,att,se,p_value,ci_lower,ci_upper,n_obs,n_treated,n_control,significant
Norte,-0.023630387224775954,0.09009285278190331,0.793098445499817,-0.20021237867730643,0.15295160422775453,1216,1045,171,FALSE
Nordeste,0.08618655375158424,0.04795317233698321,0.07228695696648328,-0.007801664028902852,0.18017477153207134,3572,2090,1482,FALSE
Centro-Oeste,NA,NA,NA,NA,NA,988,NA,NA,NA
Sudeste,0.04236405116802625,0.033774547741859555,0.20972614281976065,-0.02383406240601848,0.10856216474207098,3040,2166,874,FALSE
Sul,0.08655617193034734,0.04179790546369052,0.03837509858818796,0.004632277221513922,0.16848006663918075,1786,1273,513,TRUE
