crop,att,se,p_value,ci_lower,ci_upper,n_obs,n_units
cana,0.06613363915201306,0.05200381631218294,0.20347709272450282,-0.0357938408198655,0.16806111912389163,105764,5570
soja,0.08102076438545294,0.026625066944101095,0.0023421228844138975,0.028835633175014794,0.13320589559589108,105764,5570
cafe,0.021716883873572856,0.009538464097246692,0.02279999539053751,0.003021494242969342,0.040412273504176366,105764,5570
citricos,-0.0011771237314048245,0.008616610302702478,0.8913382829936625,-0.01806567992470168,0.015711432461892032,105764,5570
