specification,method,att,se,p_value,ci_lower,ci_upper,n_obs,significant
Baseline (DR),dr,0.056912659541544626,0.029249741162786943,0.05168487730792932,-4.168331375177803e-4,0.11424215222060703,10602,FALSE
Sem covariáveis,dr,0.09122395625427901,0.026704941819147548,6.354933933171781e-4,0.03888227028874982,0.1435656422198082,10602,TRUE
Covariáveis básicas,dr,0.08338895750698065,0.02642166659612876,0.0015990366785262177,0.03160249097856828,0.135175424035393,10602,TRUE
IPW,ipw,0.06892025044018173,0.02809420002598499,0.014159777015064741,0.013855618389251145,0.12398488249111231,10602,TRUE
REG,reg,0.05482160842349333,0.029272553806307063,0.061096151195749585,-0.002552597036868512,0.11219581388385517,10602,FALSE
Excl. 2022-23,dr,0.056912659541544626,0.029249741162786943,0.05168487730792932,-4.168331375177803e-4,0.11424215222060703,10602,FALSE
