group,n_units,weight,n_post_periods
2004,7,0.02046783625730994,18
2005,2,0.005847953216374269,17
2006,79,0.2309941520467836,16
2007,80,0.23391812865497075,15
2008,97,0.28362573099415206,14
2009,12,0.03508771929824561,13
2010,7,0.02046783625730994,12
2011,5,0.014619883040935672,11
2012,6,0.017543859649122806,10
2013,2,0.005847953216374269,9
2015,3,0.008771929824561403,7
2016,15,0.043859649122807015,6
2017,21,0.06140350877192982,5
2018,5,0.014619883040935672,4
2019,1,0.0029239766081871343,3
